# LAMMPS data file written by OVITO Basic 3.7.8
148 atoms
2 atom types
0.0 15.92720863 xlo xhi
0.0 13.79347811 ylo yhi
0.0 13.22380977 zlo zhi
-7.963415974 0.0 0.0 xy xz yz

Masses

1 95.94  # Mo
2 32.065  # S

Atoms  # charge

88 2 0.0 1.08693e-04 12.87394099 8.353075048
89 1 0.0 9.556410388 1.839093475 3.305947904
90 1 0.0 11.14899075 0.919596737 9.91787097
91 2 0.0 11.14911785 0.919530225 4.870721412
92 2 0.0 9.556279085 1.839161782 11.48260633
93 2 0.0 11.14911929 0.919525286 1.741191526
94 2 0.0 9.556283678 1.839161081 8.353076438
95 1 0.0 7.963727574 4.597789072 3.305958934
96 1 0.0 9.556306741 3.67829121 9.917864451
97 2 0.0 9.556436506 3.678225272 4.870714926
98 2 0.0 7.9635972 4.597853964 11.48260626
99 2 0.0 9.556435645 3.678222175 1.741185116
100 2 0.0 7.963598017 4.597857727 8.353073804
101 1 0.0 6.371043522 7.356483915 3.305960526
102 1 0.0 7.963623709 6.436985419 9.917868682
103 2 0.0 7.963753633 6.436917977 4.870714897
104 2 0.0 6.370916134 7.356549004 11.4826113
105 2 0.0 7.963751633 6.436920103 1.741185069
106 2 0.0 6.370914382 7.356552956 8.353080983
107 1 0.0 4.77835873 10.11517965 3.305953556
108 1 0.0 6.370941739 9.195681233 9.917877756
109 2 0.0 6.371068027 9.19561069 4.870721773
110 2 0.0 4.778233811 10.1152488 11.48261348
111 2 0.0 6.371066772 9.195617073 1.741192359
112 2 0.0 4.77823458 10.11524858 8.353083317
113 1 0.0 3.185677054 12.87387532 3.305945231
114 1 0.0 4.778258742 11.95437905 9.91787826
115 2 0.0 4.778384148 11.95430944 4.870726591
116 2 0.0 3.185547482 12.87394545 11.48260999
117 2 0.0 4.778385726 11.95431056 1.741196726
118 2 0.0 3.185551942 12.873944 8.35308034
119 1 0.0 12.74185213 1.839092912 3.305946633
120 1 0.0 14.33443385 0.919594833 9.917863415
121 2 0.0 14.33455947 0.919529955 4.870724039
122 2 0.0 12.74172373 1.839160165 11.48261373
123 2 0.0 14.33456069 0.919524714 1.741193699
124 2 0.0 12.74172719 1.839160841 8.353082988
125 1 0.0 11.14916947 4.597789027 3.305960284
126 1 0.0 12.74175084 3.678289686 9.917852923
127 2 0.0 12.74187703 3.678225556 4.870715402
128 2 0.0 11.14903892 4.59785411 11.48261199
129 2 0.0 12.74187844 3.678220874 1.741185533
130 2 0.0 11.14904436 4.597856015 8.353081853
131 1 0.0 9.556485972 7.35648417 3.305966217
132 1 0.0 11.14906665 6.436984727 9.917858882
133 2 0.0 11.14919518 6.43691848 4.870712725
134 2 0.0 9.556356591 7.356548679 11.48261174
135 2 0.0 11.14919459 6.436920079 1.741182525
136 2 0.0 9.556359051 7.356550535 8.353081666
137 1 0.0 7.963801442 10.11517954 3.305957345
138 1 0.0 9.556383144 9.195679988 9.917872882
139 2 0.0 9.556511306 9.195611321 4.870719076
140 2 0.0 7.96367605 10.11524528 11.48261374
141 2 0.0 9.556508566 9.195617799 1.741189118
142 2 0.0 7.96367472 10.11524595 8.353083022
143 1 0.0 6.371118459 12.8738757 3.305945636
144 1 0.0 7.963700675 11.95437597 9.917876481
145 2 0.0 7.963827307 11.95430873 4.870726542
146 2 0.0 6.370992725 12.87394328 11.48261413
147 2 0.0 7.963825804 11.95431142 1.741196629
148 2 0.0 6.370993348 12.87394277 8.353083657
